estado,regiao,ano,mes,avg_temp_ar,p50_temp_ar,p25_temp_ar,p75_temp_ar
BR,BR,2016,7,21.297480437580056,21.5,16.8,26.2
BR,BR,2016,8,22.324697174224717,22.4,17.6,27.1
BR,BR,2016,9,23.118018584121838,23.4,18.7,27.7
BR,BR,2016,10,24.30274943375506,24.2,20.5,28.2
BR,BR,2016,11,24.51945523133252,24.3,21.2,27.9
BR,BR,2016,12,24.92577864571759,24.6,22,27.9
BR,BR,2017,1,25.217595249538576,24.7,22.3,28
BR,BR,2017,2,24.976301198524407,24.5,22.3,27.6
BR,BR,2017,3,24.555720557013846,24.3,21.9,27.4
BR,BR,2017,4,23.467607511720797,23.7,20.6,26.7
BR,BR,2017,5,22.673563809534635,22.8,19.1,26.2
BR,BR,2017,6,21.369342076245644,21.6,17.3,25.6
BR,BR,2017,7,20.39227712617532,20.4,16.2,24.7
BR,BR,2017,8,22.270552829830784,22.1,17.8,26.7
BR,BR,2017,9,23.93139623920833,23.7,19.7,27.9
BR,BR,2017,10,24.72329597075359,24.5,20.8,28.6
BR,BR,2017,11,24.184731262632514,24,21,27.5
BR,BR,2017,12,24.8179332930005,24.4,22,27.6
BR,BR,2018,1,24.79259032078342,24.35,22,27.6
BR,BR,2018,2,24.22818839859388,24,21.7,26.9
BR,BR,2018,3,24.727019144299245,24.4,22.1,27.5
BR,BR,2018,4,23.498956219743782,23.4,20.8,26.4
BR,BR,2018,5,21.947655543704606,22.3,18.5,25.7
BR,BR,2018,6,20.846145449984387,21,16.8,25.2
BR,BR,2018,7,21.099519311727875,21.2,16.7,25.7
BR,BR,2018,8,21.635620667545147,21.8,17.2,26.3
BR,BR,2018,9,23.647038018760473,23.5,19.5,27.8
BR,BR,2018,10,24.527888374816687,24.3,21.1,28.1
BR,BR,2018,11,24.49918707216034,24.2,21.5,27.5
BR,BR,2018,12,24.73701675582921,24.4,21.9,27.7
