abaixo_tropic,min,q1,median,q3,max,mean,sd
nao,45,21.7,24.5,27.9,45,24.678717406377153,4.833135833976794
sim,44.2,15.9,19.8,23.5,44.2,19.661557981309883,5.889561359083827
