regiao;estado;idade;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
NE;SE;85-89;6192;7929;8268;8475;8617;8744;8870;9012;9169;9363;9623;9951;10347
NE;SE;90;3025;5567;5147;4976;4935;4947;4975;5028;5117;5229;5348;5472;5613
NE;BA;0-4;1282462;1133644;1112087;1094480;1073869;1054118;1043168;1034135;1027006;1027843;1029247;1025876;1022444
NE;BA;5-9;1354986;1240699;1215926;1192576;1168575;1145479;1121187;1099919;1082580;1062241;1042741;1032020;1023216
NE;BA;10-14;1382779;1357988;1338668;1311121;1283506;1255915;1229773;1205224;1182092;1158306;1135423;1111347;1090279
NE;BA;15-19;1362789;1345539;1343091;1342988;1342760;1338738;1328753;1309957;1282991;1255975;1228991;1203434;1179443
NE;BA;20-24;1391759;1322304;1304650;1292033;1283796;1278541;1275182;1273827;1274790;1275636;1272713;1263882;1246323
NE;BA;25-29;1460757;1326865;1321216;1306170;1285026;1262982;1243347;1227105;1215830;1208879;1204870;1202728;1202565
NE;BA;30-34;1216185;1186928;1215159;1240014;1259744;1272113;1275927;1271149;1257080;1236983;1215977;1197342;1182053
NE;BA;35-39;1011970;995861;1021310;1053243;1088993;1124196;1155873;1184217;1209244;1229213;1241930;1246201;1241976
NE;BA;40-44;906485;916044;927812;935285;941917;953081;971943;997368;1029168;1064730;1099767;1131342;1159650
NE;BA;45-49;789221;791698;811666;833285;854959;874157;889565;901458;909164;916062;927407;946298;971615
NE;BA;50-54;658862;672865;691847;709418;726299;743713;762335;782099;803480;824918;843958;859318;871278
NE;BA;55-59;519129;540966;559029;579169;600446;621371;641055;659618;676851;693448;710570;728869;748272
NE;BA;60-64;410980;442737;454823;466319;478064;491336;506826;524254;543642;564104;584237;603215;621155
NE;BA;65-69;316207;344932;355542;367449;380090;392594;404527;416048;427066;438339;451038;465783;482319
NE;BA;70-74;242664;266611;273765;280122;286379;293549;302165;311963;322914;334520;346014;357024;367694
NE;BA;75-79;164318;181291;187248;194707;202871;210673;217604;223924;229639;235317;241769;249417;258051
NE;BA;80-84;106950;122714;123685;124751;126364;129022;132889;137828;143877;150434;156708;162324;167507
NE;BA;85-89;54049;65643;69934;72721;74578;75906;76989;78044;79183;80686;82875;85839;89493
NE;BA;90;33258;47242;45536;45680;46797;48323;49910;51547;53271;54983;56623;58165;59737
SE;MG;0-4;1506462;1338553;1319112;1311625;1307407;1310258;1321702;1324170;1323807;1330410;1332326;1327359;1327256
SE;MG;5-9;1637498;1497792;1459242;1425661;1395349;1367128;1340004;1320610;1313149;1308950;1311803;1323244;1325719
SE;MG;10-14;1689368;1711110;1681956;1637753;1588882;1541553;1500134;1461618;1428060;1397768;1369560;1342440;1323041
SE;MG;15-19;1724117;1742648;1739222;1738357;1736183;1726654;1706265;1677308;1633340;1584713;1537620;1496408;1458087
SE;MG;20-24;1775040;1757058;1751583;1744474;1736814;1730230;1725473;1722431;1721920;1720105;1710955;1690978;1662454
SE;MG;25-29;1820525;1727867;1734500;1737693;1737967;1736095;1732655;1727714;1721141;1713995;1707914;1703642;1701059
SE;MG;30-34;1621377;1617371;1644587;1666563;1683657;1697024;1707390;1714439;1718053;1718763;1717323;1714315;1709811
SE;MG;35-39;1421398;1435712;1460123;1493592;1532218;1569676;1601861;1629244;1651429;1668776;1682416;1693068;1700411
SE;MG;40-44;1371765;1392455;1395624;1395752;1396507;1403338;1419411;1443993;1477510;1516102;1553539;1585762;1613236
SE;MG;45-49;1287779;1312183;1328856;1342790;1354005;1362474;1368536;1372241;1372940;1374240;1381507;1397853;1422561
SE;MG;50-54;1094327;1149069;1179958;1208835;1235241;1258613;1278663;1295656;1309970;1321616;1330563;1337134;1341386
SE;MG;55-59;871212;933653;969490;1005606;1041334;1075793;1108344;1138978;1167684;1194012;1217391;1237552;1254739
SE;MG;60-64;665705;725100;756052;787845;820469;853999;888373;923260;958439;993264;1026901;1058733;1088754
SE;MG;65-69;504546;549163;569214;592420;618223;645694;674237;703831;734244;765468;797571;830481;863892
SE;MG;70-74;394203;431005;441851;451687;461882;474377;490258;509092;530767;554787;580328;606872;634401
SE;MG;75-79;277253;302173;313246;325425;337971;349835;360592;370566;379759;389312;400847;415261;432193
SE;MG;80-84;170195;190884;197933;204990;212324;220238;228844;238172;248400;258928;268918;278023;286552
SE;MG;85-89;81451;92674;100211;106809;112777;118344;123678;128965;134334;139938;145958;152448;159452
SE;MG;90;53339;50974;53403;57327;62118;67308;72558;77976;83682;89515;95351;101093;106919
SE;ES;0-4;285976;266530;267213;269541;272051;275659;280416;282699;284302;286822;287749;287450;288253
SE;ES;5-9;305678;284633;279884;276223;273547;271499;270073;270713;272991;275454;279013;283719;285957
SE;ES;10-14;314560;306257;305068;301139;296585;292267;288200;283410;279710;276990;274895;273424;274010
SE;ES;15-19;319426;305468;304946;306301;308536;309999;309667;308458;304516;299951;295617;291528;286722
SE;ES;20-24;334648;327424;324993;320993;316370;312565;310432;309896;311219;313403;314823;314454;313203
SE;ES;25-29;340762;326849;330118;332643;334221;334527;333453;331014;327012;322387;318559;316385;315794
SE;ES;30-34;304807;303677;311249;317684;323072;327683;331663;334893;337379;338923;339203;338107;335647
SE;ES;35-39;266838;262095;268945;277723;287596;297242;305797;313330;319736;325104;329697;333659;336877
SE;ES;40-44;251811;248344;250423;252039;253895;257052;262105;268943;277682;287503;297095;305612;313113
SE;ES;45-49;232847;230747;234612;238185;241436;244289;246774;248919;250602;252516;255705;260761;267573
SE;ES;50-54;198901;202003;207881;213386;218497;223193;227463;231366;234981;238275;241175;243706;245900
SE;ES;55-59;154254;162519;170258;177543;184396;190897;197089;202925;208404;213497;218188;222455;226363
SE;ES;60-64;106786;116631;123801;131714;140041;148311;156217;163760;170874;177583;183955;190034;195763
SE;ES;65-69;78532;85481;89070;93164;97859;103263;109421;116280;123842;131788;139690;147257;154494
SE;ES;70-74;61557;66504;68317;70106;72046;74389;77285;80686;84539;88943;93997;99741;106126
SE;ES;75-79;44179;47927;49621;51432;53299;55115;56855;58561;60254;62083;64256;66902;69984
SE;ES;80-84;27077;30709;31938;33180;34458;35803;37218;38716;40308;41941;43534;45057;46556
SE;ES;85-89;12290;14424;15949;17259;18420;19479;20471;21443;22438;23468;24539;25661;26841
SE;ES;90;7146;7835;8309;9092;10061;11129;12227;13364;14552;15757;16960;18140;19332
SE;RJ;0-4;1117133;1061221;1059237;1063842;1071331;1084132;1103424;1113546;1118412;1127818;1129956;1123644;1122005
SE;RJ;5-9;1228932;1142673;1114390;1096176;1081567;1067956;1058561;1056661;1061337;1068887;1081738;1101069;1111252
SE;RJ;10-14;1312695;1322857;1299088;1258293;1212720;1172632;1138744;1110588;1092476;1077966;1064445;1055135;1053317
SE;RJ;15-19;1270506;1287626;1295153;1309442;1324317;1330175;1321309;1297688;1257096;1211741;1171860;1138147;1110129
SE;RJ;20-24;1259954;1320582;1312079;1303856;1297461;1295005;1297370;1304841;1319028;1333779;1339549;1330666;1307080
SE;RJ;25-29;1343714;1382983;1377026;1366578;1353635;1341189;1331286;1322842;1314648;1308265;1305781;1308060;1315413
SE;RJ;30-34;1286377;1340836;1357056;1368993;1376381;1379284;1377926;1372268;1362126;1349485;1337321;1327667;1319445
SE;RJ;35-39;1189579;1206686;1226028;1251241;1279273;1305334;1326285;1342770;1355012;1362722;1365965;1364964;1359675
SE;RJ;40-44;1131268;1158480;1160680;1162717;1166473;1174681;1188789;1208399;1233795;1261965;1288175;1309321;1326041
SE;RJ;45-49;1105361;1116997;1123286;1127414;1130094;1132298;1134841;1137618;1140211;1144477;1153110;1167534;1187361
SE;RJ;50-54;980607;1013047;1032398;1049043;1063015;1074479;1083645;1090589;1095403;1098783;1101674;1104866;1108256
SE;RJ;55-59;807311;840178;867222;894760;921812;946914;969183;988803;1005831;1020271;1032271;1042020;1049595
SE;RJ;60-64;613792;662139;688522;713758;738406;763521;789600;816243;843353;870011;894818;916943;936553
SE;RJ;65-69;436113;483380;502327;525796;552205;579175;605272;630657;655038;678920;703252;728494;754258
SE;RJ;70-74;349270;381422;387954;393380;399511;408874;422792;440705;462611;487116;512146;536424;560121
SE;RJ;75-79;253847;273077;279632;287659;296332;304489;311663;318139;323750;330000;338980;351778;367920
SE;RJ;80-84;163925;181088;185033;188652;192386;196703;201795;207752;214831;222387;229521;235872;241711
SE;RJ;85-89;77078;85842;94758;101427;106601;110807;114435;117752;120912;124173;127830;131986;136715
SE;RJ;90;41630;42074;43639;47600;52824;58536;64218;69877;75595;81194;86551;91599;96502
SE;SP;0-4;3118982;2968754;2964099;2978553;2994081;3012089;3044325;3060670;3059848;3064017;3060153;3038361;3022036
SE;SP;5-9;3342358;3126834;3070415;3032286;3007729;2987299;2965962;2961456;2976031;2991677;3009786;3042098;3058542
SE;SP;10-14;3359463;3369319;3351745;3297434;3227780;3164764;3117424;3061270;3023386;2999044;2978818;2957679;2953362
SE;SP;15-19;3433753;3348032;3335551;3348412;3373212;3387897;3378837;3361265;3306995;3237404;3174445;3127121;3070987
SE;SP;20-24;3658703;3686268;3640865;3579280;3512600;3457198;3422740;3409406;3421271;3444987;3458597;3448513;3429921
SE;SP;25-29;3784651;3840403;3855371;3854821;3840241;3814221;3779508;3733167;3670693;3603105;3546685;3511090;3496503
SE;SP;30-34;3523572;3603941;3672267;3737442;3795464;3841181;3871426;3886229;3885538;3870857;3844758;3809963;3763557
SE;SP;35-39;3236780;3226646;3285871;3356614;3434403;3512187;3584868;3653533;3719044;3777409;3823504;3854180;3869470
SE;SP;40-44;3014445;3020480;3049089;3075191;3103188;3139659;3188319;3248192;3319418;3397581;3475713;3548754;3617789
SE;SP;45-49;2791949;2789891;2830014;2868067;2904046;2937668;2969191;2998883;3026069;3055073;3092380;3141667;3201967
SE;SP;50-54;2413060;2468639;2528277;2582180;2631222;2676970;2720504;2761663;2800713;2837660;2872236;2904703;2935322
SE;SP;55-59;1941573;2014539;2089281;2165276;2240441;2311724;2377238;2437302;2491800;2541542;2588005;2632224;2674059
SE;SP;60-64;1457180;1557537;1628143;1697478;1766390;1836606;1908918;1982583;2057463;2131564;2201933;2266765;2326367
SE;SP;65-69;1034629;1123897;1174680;1235351;1302828;1372344;1441004;1509111;1576108;1642778;1710711;1780635;1851855
SE;SP;70-74;798357;867640;890093;910374;932316;961410;1000574;1048644;1105574;1168609;1233506;1297671;1361395
SE;SP;75-79;559654;609359;629083;652663;678178;702855;725535;746834;766399;787462;814670;850465;893859
SE;SP;80-84;360550;401863;412588;422811;433675;446376;461452;478993;499510;521489;542741;562367;580946
SE;SP;85-89;163592;187052;209282;226014;239139;250009;259582;268555;277317;286565;297067;309125;322854
SE;SP;90;82465;87812;90669;99594;111775;125298;138897;152549;166426;180113;193341;205952;218341
S;PR;0-4;816284;756693;750671;750070;753858;761692;772190;778977;785276;791136;791584;788781;787904
S;PR;5-9;879334;813603;794369;778722;767823;761803;754058;748114;747575;751415;759297;769841;776683
S;PR;10-14;920621;921333;907466;885192;858582;831730;811676;792516;776935;766090;760117;752422;746523
S;PR;15-19;936279;941158;941334;940253;936778;929247;916840;903132;881037;854621;827957;808072;789079
S;PR;20-24;922209;913489;917124;921739;926571;930426;932436;932833;931985;928739;921453;909312;895868
S;PR;25-29;919594;892105;894857;896227;896999;898445;901273;905163;910022;915101;919205;921471;922121
S;PR;30-34;842106;847658;855876;863593;870497;876206;880512;883521;885149;886184;887877;890938;895055
S;PR;35-39;791050;797990;803542;811303;820564;830051;838935;847329;855215;862287;868172;872659;875851
S;PR;40-44;766282;776990;780811;782182;782491;783832;787513;793281;801229;810661;820311;829354;837906
S;PR;45-49;696445;709628;724076;736878;747766;756419;762760;766858;768542;769167;770805;774743;780736
S;PR;50-54;578726;600613;619340;638680;657924;676014;692247;706766;719677;730717;739561;746135;750501
S;PR;55-59;470240;495269;512284;528854;545365;562429;580356;598925;618092;637173;655139;671299;685802
S;PR;60-64;359900;387280;403601;420298;437218;454174;471059;487758;504048;520296;537083;554705;572946
S;PR;65-69;268324;289025;300764;313905;328160;343085;358395;374104;390195;406516;422886;439203;455366
S;PR;70-74;200194;216540;223775;230802;238139;246511;256306;267388;279734;293096;307078;321432;336170
S;PR;75-79;135994;146339;152196;158694;165566;172440;179166;185816;192349;199182;206907;215843;225881
S;PR;80-84;80346;88628;92449;96290;100277;104543;109144;114147;119662;125482;131324;137065;142785
S;PR;85-89;35775;39996;43991;47502;50704;53723;56645;59559;62539;65646;68958;72498;76325
S;PR;90;16362;18939;19540;21003;22980;25219;27551;30016;32666;35428;38243;41067;43982
S;SC;0-4;447637;427766;428503;433568;439491;446299;456444;465196;472036;479371;484745;486588;487323
S;SC;5-9;485188;449163;443834;440904;439742;438844;436411;437029;441971;447769;454448;464458;473076
S;SC;10-14;532611;526534;515005;498738;481672;467932;459341;453870;450791;449479;448435;445854;446319
S;SC;15-19;560321;552268;551240;550884;549889;546154;538528;526858;510459;493259;479379;470637;465008
S;SC;20-24;569588;573005;574794;575267;574779;573771;572460;571173;570551;569290;565292;557407;545483
S;SC;25-29;560719;573841;583047;589062;592639;595128;597412;598881;599032;598223;596886;595243;593622
S;SC;30-34;491498;517788;532526;548739;565141;579856;591686;600640;606417;609764;612024;614073;615307
S;SC;35-39;466972;477208;483732;492237;502607;514573;527842;542414;558449;574669;589215;600893;609703
S;SC;40-44;463022;470247;472230;473623;475183;477938;482544;489027;497465;507749;519611;532760;547208
S;SC;45-49;434026;447385;456081;462174;466221;469171;471723;473770;475229;476840;479625;484233;490682
S;SC;50-54;353133;371747;386845;402923;418871;432994;444270;452967;459111;463242;466288;468928;471064
S;SC;55-59;282241;300657;313465;325799;338102;351108;365156;380064;395926;411662;425622;436808;445477
S;SC;60-64;207514;226374;238986;251820;264755;277634;290400;302938;315035;327108;339864;353631;368229
S;SC;65-69;146529;159400;168191;178371;189598;201332;213221;225335;237675;250129;262538;274850;286959
S;SC;70-74;108729;118497;122890;127091;131603;137160;144149;152424;161958;172451;183418;194547;205900
S;SC;75-79;72721;79390;83133;87364;91849;96251;100447;104521;108455;112676;117807;124172;131654
S;SC;80-84;44390;48805;50813;52925;55228;57821;60731;63981;67622;71466;75249;78871;82409
S;SC;85-89;20398;22866;25053;26949;28666;30289;31885;33515;35240;37109;39184;41477;44013
S;SC;90;9936;10114;11100;12505;14150;15899;17656;19455;21327;23238;25158;27072;29037
S;RS;0-4;751616;682720;672700;673534;679213;687053;699906;709530;712846;714571;713500;708058;702546
S;RS;5-9;832293;776999;752113;730920;712999;695892;677636;667723;668648;674410;682328;695260;704971
S;RS;10-14;875285;873692;862811;841096;814660;790792;771310;746552;725476;707669;690675;672532;662720
S;RS;15-19;891735;887837;886928;885779;883116;877115;866713;855998;834464;808219;784538;765231;740659
S;RS;20-24;903817;882939;878217;876495;876867;877588;877443;876758;875828;873382;867605;857443;846967
S;RS;25-29;929360;906352;905575;897866;886104;875046;867679;863295;861886;862556;863567;863706;863302
S;RS;30-34;812043;819460;835222;852975;870104;882790;888755;888342;881035;869690;859032;852038;848007
S;RS;35-39;756001;755415;758986;766380;777056;790046;804478;820451;838398;855723;868631;874866;874753
S;RS;40-44;778194;770872;762030;753321;746028;741837;741792;745653;753285;764161;777333;791926;808047
S;RS;45-49;782463;783312;783374;778986;771420;762673;754186;745871;737669;730846;727062;727364;731505
S;RS;50-54;684998;702846;718211;733275;746689;756438;761400;761945;758131;751191;743078;735190;727445
S;RS;55-59;569912;592586;610249;627358;643977;660258;676169;691621;706776;720334;730321;735652;736685
S;RS;60-64;445795;471409;490131;508303;526055;543703;561387;578828;595758;612222;628375;644179;659549
S;RS;65-69;329096;348326;362993;379910;398317;417056;435430;453482;471051;488261;505396;522572;539533
S;RS;70-74;250171;265666;272745;279769;287489;296960;308725;322528;338365;355550;373055;390263;407210
S;RS;75-79;179365;189673;195267;201336;207728;214214;220736;227352;233960;241187;249929;260635;273092
S;RS;80-84;112465;120718;124903;129086;133358;137792;142433;147358;152674;158256;163915;169594;175369
S;RS;85-89;52541;56755;61962;66391;70294;73852;77198;80482;83821;87251;90792;94466;98342
S;RS;90;27921;27218;28900;31668;35053;38712;42401;46178;50122;54126;58107;61998;65928
CO;MS;0-4;217219;201397;202264;205746;208658;211215;214990;216938;217856;219300;219770;219187;219250
CO;MS;5-9;221037;206899;206089;204806;203757;203362;202598;203452;206912;209807;212344;216099;218034
CO;MS;10-14;222294;225005;221251;216352;212343;209534;207650;206838;205548;204492;204089;203316;204158
CO;MS;15-19;225863;228960;229052;228824;228132;226767;224647;220915;216046;212065;209281;207419;206616
CO;MS;20-24;222146;222820;223892;225317;226835;228024;228593;228706;228497;227825;226483;224389;220692
CO;MS;25-29;220189;220109;221663;222308;222433;222663;223376;224447;225872;227390;228578;229143;229254
CO;MS;30-34;195425;203171;207318;211433;215269;218470;220840;222386;223031;223154;223385;224095;225158
CO;MS;35-39;179546;183931;187261;190988;195009;199160;203313;207439;211529;215350;218534;220896;222440
CO;MS;40-44;166346;170793;172905;175059;177363;179956;182907;186235;189950;193953;198087;202223;206331
CO;MS;45-49;151276;156731;160015;162584;164666;166610;168676;170803;172972;175287;177884;180834;184156
CO;MS;50-54;121781;129265;134205;139411;144581;149281;153227;156497;159071;161172;163138;165221;167360
CO;MS;55-59;94826;103251;107475;111604;115747;120080;124703;129553;134659;139736;144359;148250;151492
CO;MS;60-64;70246;77883;81492;85405;89525;93697;97827;101920;105932;109956;114165;118658;123364
CO;MS;65-69;52303;58964;61059;63364;65911;68744;71883;75314;79024;82928;86890;90812;94709
CO;MS;70-74;39356;44568;46046;47436;48835;50378;52143;54101;56251;58621;61241;64144;67305
CO;MS;75-79;25774;29545;30884;32369;33919;35420;36818;38152;39422;40707;42117;43704;45458
CO;MS;80-84;15031;17783;18544;19324;20151;21061;22063;23159;24373;25637;26870;28029;29145
CO;MS;85-89;7216;8686;9248;9788;10318;10849;11388;11947;12524;13139;13812;14544;15345
CO;MS;90;4165;4984;5099;5324;5617;5943;6286;6652;7065;7504;7959;8431;8921
CO;MT;0-4;272853;266608;261679;259644;260160;262740;268296;273492;278139;282700;284071;283130;284173
CO;MT;5-9;276937;269588;271528;272085;271707;271088;267730;262805;260762;261258;263809;269338;274517
CO;MT;10-14;275817;285290;281367;276301;271835;269146;269213;271163;271727;271355;270750;267403;262493
CO;MT;15-19;284743;288108;287710;287539;287265;286391;284630;280729;275701;271273;268611;268705;270664
CO;MT;20-24;284509;289771;290159;290277;290188;289933;289534;289134;288948;288663;287782;286015;282125
CO;MT;25-29;279978;287890;290303;291848;292746;293344;293864;294204;294281;294147;293845;293399;292947
CO;MT;30-34;252886;269150;274247;278939;283148;286808;289892;292272;293787;294665;295241;295743;296064
CO;MT;35-39;228270;238568;243960;250024;256413;262565;268115;273189;277866;282061;285720;288797;291182
CO;MT;40-44;206543;216142;220179;223813;227378;231382;236118;241494;247531;253892;260013;265548;270608
CO;MT;45-49;179240;187025;192628;197965;203002;207704;212076;216118;219766;223344;227356;232085;237441
CO;MT;50-54;141934;150713;157142;163587;169950;176086;181913;187455;192743;197739;202413;206765;210796
CO;MT;55-59;105924;114898;120621;126523;132573;138736;144965;151241;157538;163761;169764;175476;180918
CO;MT;60-64;76299;84516;88740;93246;98020;103059;108345;113842;119513;125334;131269;137271;143324
CO;MT;65-69;54582;61260;63954;66891;70083;73533;77249;81226;85471;89968;94714;99697;104883
CO;MT;70-74;38003;43725;45484;47215;49011;50991;53229;55701;58390;61309;64465;67859;71490
CO;MT;75-79;23356;27202;28668;30281;31961;33606;35164;36694;38213;39796;41533;43484;45635
CO;MT;80-84;12700;15248;16057;16889;17771;18736;19798;20950;22221;23542;24844;26085;27310
CO;MT;85-89;5387;6794;7299;7788;8282;8790;9317;9867;10438;11050;11719;12452;13246
CO;MT;90;3349;4017;4105;4293;4537;4810;5092;5403;5756;6141;6547;6968;7418
CO;GO;0-4;490199;459299;462936;469383;476061;485557;497247;503397;507834;513932;516278;515325;516405
CO;GO;5-9;532942;494062;492463;488411;484968;483543;483449;486702;492760;499051;508150;519442;525211
CO;GO;10-14;536368;537757;531859;525683;519169;512297;506602;504807;500564;496931;495311;495022;498075
CO;GO;15-19;545926;540424;542819;546749;550913;553213;552377;546259;539872;533150;526074;520169;518145
CO;GO;20-24;558286;561237;564076;564974;564782;564787;565721;567692;571188;574910;576775;575533;569037
CO;GO;25-29;567581;563729;570688;576940;582427;587010;590675;593022;593442;592792;592333;592785;594271
CO;GO;30-34;525705;539091;550401;560159;568614;576277;583491;590055;595923;601032;605247;608557;610561
CO;GO;35-39;468511;479700;492319;506661;521760;536076;548627;559641;569119;577318;584735;591703;598031
CO;GO;40-44;425838;436520;446259;454854;463110;472301;483141;495515;509590;524410;538463;550774;561566
CO;GO;45-49;368611;376485;389147;401712;413908;425337;435808;445341;453760;461847;470858;481491;493635
CO;GO;50-54;296035;309277;321765;334419;347148;359810;372303;384641;396889;408783;419935;430156;439469
CO;GO;55-59;230795;245392;255971;266833;277988;289471;301277;313327;325543;337845;350082;362168;374109
CO;GO;60-64;172957;188218;196906;205875;215119;224642;234432;244501;254852;265481;276430;287692;299201
CO;GO;65-69;126483;140202;145861;152258;159281;166738;174519;182610;190973;199599;208494;217638;227049
CO;GO;70-74;93893;105181;108827;112111;115371;119089;123533;128634;134385;140701;147405;154407;161693
CO;GO;75-79;59756;67435;70962;74872;78893;82666;86039;89118;91938;94759;97971;101787;106147
CO;GO;80-84;34002;39224;40902;42657;44573;46743;49189;51889;54881;57960;60858;63458;65857
CO;GO;85-89;15853;18460;19791;21014;22168;23283;24378;25511;26710;28022;29501;31158;32988
CO;GO;90;7626;10099;10289;10737;11338;12017;12720;13468;14281;15132;16004;16878;17797
CO;DF;0-4;203017;211432;204757;199779;197047;196937;199113;201112;203162;205494;206283;205920;206217
CO;DF;5-9;205143;219062;217489;214846;211021;206416;200374;193884;189087;186527;186592;188932;191098
CO;DF;10-14;220555;221552;224479;225963;226505;226357;226226;224544;221795;217868;213157;207013;200424
CO;DF;15-19;229860;223614;225306;227889;230926;233691;235699;238414;239682;240010;239651;239309;237418
CO;DF;20-24;245767;248987;246709;244465;242659;241805;242200;243616;245919;248665;251145;252866;255292
CO;DF;25-29;265533;271924;271668;269922;267190;264242;261633;259199;256798;254833;253802;254016;255245
CO;DF;30-34;245134;256084;262877;268675;273207;276174;277430;277123;275323;272544;269546;266884;264391
CO;DF;35-39;209231;215484;223354;232370;241889;250890;258695;265426;271176;275661;278595;279823;279496
CO;DF;40-44;178305;190201;195184;199650;204136;209484;216159;223979;232933;242384;251319;259076;265760
CO;DF;45-49;147495;159137;165461;171704;177760;183488;188832;193799;198255;202732;208065;214700;222474
CO;DF;50-54;117321;124735;130589;136860;143389;149931;156318;162580;168766;174772;180453;185764;190705
CO;DF;55-59;92292;96819;101374;105913;110564;115524;120902;126675;132852;139286;145731;152022;158191
CO;DF;60-64;65351;70878;75184;79553;83965;88391;92825;97270;101705;106246;111087;116331;121960
CO;DF;65-69;44811;48702;51571;54970;58766;62743;66780;70889;75063;79277;83508;87758;92017
CO;DF;70-74;32948;36115;37788;39171;40512;42189;44394;47074;50228;53752;57442;61182;64995
CO;DF;75-79;19250;21574;23229;25232;27377;29370;31082;32571;33834;35072;36605;38595;40994
CO;DF;80-84;11664;13313;13834;14367;15004;15859;16968;18323;19949;21680;23300;24705;25944
CO;DF;85-89;5288;6276;7005;7542;7976;8369;8766;9174;9596;10093;10743;11568;12559
CO;DF;90;2469;3323;3194;3327;3595;3914;4237;4572;4934;5313;5694;6082;6487
