regiao,ano,mes,avg_temp_ar,p50_temp_ar,p1_temp_ar,p5_temp_ar,p99_temp_ar
SE,2010,2,25.049508679986896,24.5,16.1,18.5,35.5
SE,2010,3,23.919546711341752,23.5,15.2,18,33.6
SE,2010,4,21.876820458090467,21.8,11.1,14.3,32
SE,2010,5,19.99823771580345,19.9,8.5,11.9,31
SE,2010,6,17.98561065411095,17.9,5.8,9.5,30.1
SE,2010,7,19.409435607736963,19.3,7.9,11.7,30.1
SE,2010,8,19.341354627773367,19.1,6.1,9.8,32.6
SE,2010,9,21.652192503141904,21.1,10.2,13.5,34.2
SE,2010,10,22.07075630922163,21.7,10.5,13.9,34.4
SE,2010,11,22.43746969856661,22.1,12.9,15.8,32.7
SE,2010,12,23.865278099801632,23.4,15.4,17.9,33.3
SE,2011,1,24.0195289525392,23.5,15.7,18.1,33.3
SE,2011,2,24.44183028001085,24,15.4,18.1,34.1
SE,2011,3,22.66947247796023,22.3,14.9,17.4,31.6
SE,2011,4,22.107337217407316,21.9,12.8,15.7,31.1
SE,2011,5,19.264103819784523,19.2,7.9,11.4,29.6
SE,2011,6,17.821273481336913,17.8,4.8,9.2,29.3
SE,2011,7,18.71419033939781,18.5,6.7,10.2,30.3
SE,2011,8,20.51629893053681,20.1,7,11.4,33.5
SE,2011,9,20.81722425088605,20.4,7.8,11.5,34.6
SE,2011,10,21.769053065533797,21.4,11.5,14.6,33.3
SE,2011,11,21.326781586679726,21.1,10.7,13.9,32
SE,2011,12,22.757345087517567,22.3,13.9,16.8,32.6
SE,2012,1,22.630964230171074,22.1,14,16.7,32.5
SE,2012,2,24.015475303871284,23.5,14.8,17.4,34.3
SE,2012,3,23.31711668212602,22.8,13.9,16.7,33.6
SE,2012,4,22.61277977412731,22.3,13,15.9,33.2
SE,2012,5,19.359467448241457,19.1,8.9,12.4,30.3
SE,2012,6,19.606125753705996,19.4,9.5,12.6,30.4
SE,2012,7,18.738311167881385,18.6,6.2,9.8,30.5
SE,2012,8,19.44890371302706,19.3,8,11.6,29.9
SE,2012,9,21.654401495933257,21.3,8.3,12.3,35.2
SE,2012,10,23.71053920022209,23.2,12.2,15.5,36.2
SE,2012,11,22.601131148600608,22.2,13.2,16.3,33
SE,2012,12,24.93908093484632,24.4,16.2,18.6,34.9
SE,2013,1,23.396226220150073,23,14.7,17.3,33.5
SE,2013,2,24.10365174157785,23.7,15.2,17.8,34
SE,2013,3,23.461494906665287,23,14.6,17.275000000000002,34.244999999999706
SE,2013,4,21.180766700005265,21.3,10.3,13.9,30.9
SE,2013,5,20.04497209884979,19.7,8.8,12.4,31
SE,2013,6,19.691472543030557,19.3,9.9,13,29.8
SE,2013,7,18.542131050989337,18.5,6,9.6,30.4
SE,2013,8,19.408951348626164,19.3,6.2,10,31.7
SE,2013,9,21.238624777865695,20.8,9.3,12.9,34.4
SE,2013,10,21.74624452339405,21.4,11,14.1,33.6
SE,2013,11,22.677823563930364,22.1,13.1,15.9,33.8
SE,2013,12,23.503725791889728,23,14.8,17.7,33.5
SE,2014,1,24.53086261068266,24.1,15.1,17.7,34.2
SE,2014,2,24.59529793443459,24.1,15,17.7,35.1
SE,2014,3,23.482774943526486,23.1,14.7,17.3,33.1
SE,2014,4,22.299361824822196,22.2,11.1,14.6,32.3
SE,2014,5,20.01038545636284,19.9,8.5,12.1,30.96600000000035
SE,2014,6,19.49977221846202,19.4,8.4,11.9,30.1
SE,2014,7,18.593229705518684,18.5,7.2,10.9,29.9
SE,2014,8,19.797118552081887,19.5,7.2,10.9,32.5
SE,2014,9,22.032023578183704,21.6,9.9,13.6,34.7
SE,2014,10,22.94719225617923,22.4,10.3,13.9,36.9
SE,2014,11,22.947594834121983,22.7,13.1,16.2,33
SE,2014,12,23.678024196044923,23.2,14.7,17.3,33.9
SE,2015,1,25.482243786615737,25,15.9,18.3,36.1
SE,2015,2,24.0028691671169,23.5,15.7,18,33.9
SE,2015,3,23.348338477366255,22.9,15.4,17.7,33
SE,2015,4,22.402377567461446,22.2,13.4,15.9,32.1
SE,2015,5,19.898078870134697,19.7,10.2,13.3,30
SE,2015,6,19.248096340060243,19,8.6,11.9,30.3
SE,2015,7,19.52822685869795,19.2,9.5,12.4,30.1
SE,2015,8,20.32392554404402,20,8.3,12,32.4
SE,2015,9,23.005284342548546,22.2,12.1,14.8,36.3
SE,2015,10,24.45797498142185,23.8,13.9,16.6,37.1
SE,2015,11,24.49972215464591,23.9,16.1,18.3,35.8
SE,2015,12,24.740634301049038,24.1,16.4,18.7,35.7
SE,2016,1,23.88819180423287,23.3,15.9,18.3,34
SE,2016,2,25.104004258672898,24.5,16.3,18.9,35
SE,2016,3,24.290384349769592,23.8,15.7,18.3,34
SE,2016,4,23.80882578761218,23.5,11.7,15.4,34.5
SE,2016,5,20.379667536579635,20.2,8.9,12.6,31.9
SE,2016,6,18.245020162054885,18.3,4.9,9.4,31.3
SE,2016,7,19.17402378522088,19,6.2,10.1,31.5
SE,2016,8,20.324688462278676,20.1,7.5,11.1,33.3
SE,2016,9,21.93449736480154,21.5,10.4,13.5,34.5
SE,2016,10,22.919080023028208,22.4,12.3,15.1,35.4
SE,2016,11,22.786877307879887,22.3,13,16.2,33.3
SE,2016,12,23.85231685740521,23.4,14.6,17.3,33.7
SE,2017,1,24.63428394874605,24,16.7,18.6,34.8
SE,2017,2,24.349614316963656,23.9,16.2,18.2,33.9
SE,2017,3,23.72371159452792,23.3,14.1,16.8,34
SE,2017,4,22.398276968094084,22.1,12.653999999999996,15.5,32.6
SE,2017,5,20.60386454966367,20.4,10.7,13.9,31
SE,2017,6,19.401215533514463,19.2,7.8,11.6,30.9
SE,2017,7,17.78243375858685,17.7,6.3,9.9,28.2
SE,2017,8,19.736559072062143,19.3,8,11.4,32.9
SE,2017,9,21.814797973666494,21.4,9,13.2,34
SE,2017,10,23.707022425591557,23,12.9,15.9,36.3
SE,2017,11,22.620228956644162,22.2,12,15.8,33.1
SE,2017,12,23.52660120138862,23.1,14.1,17.5,33.2
